EmpleadoID,Sector,Fecha,Proyecto,Producto,Inspecciones,NoConformes,UnidadesEntregadas
1,Producción,2024-05-26,Planta Eléctrica Loma,Tubería,6,1,24
1,Producción,2024-09-20,Gasoducto Sur,Bomba,25,2,125
1,Producción,2024-05-27,Planta Eléctrica Loma,Tubería,21,4,63
1,Producción,2024-04-06,Oleoducto Andino,Válvula,15,4,60
2,Mantenimiento,2024-08-06,Oleoducto Andino,Bomba,13,2,52
2,Mantenimiento,2024-01-21,Oleoducto Andino,Bomba,25,0,75
3,Logística,2024-01-17,Refinería VacaMuerta,Tubería,15,0,60
3,Logística,2024-02-28,Planta Separadora,Bomba,30,5,90
3,Logística,2024-04-05,Planta Separadora,Tubería,9,2,45
3,Logística,2024-09-02,Refinería VacaMuerta,Bomba,13,4,26
4,Perforación,2024-02-20,Oleoducto Andino,Válvula,24,5,96
4,Perforación,2024-04-19,Planta Separadora,Válvula,9,1,18
4,Perforación,2024-11-03,Planta Separadora,Bomba,30,0,60
4,Perforación,2024-11-11,Gasoducto Sur,Tanque,23,1,69
5,Producción,2024-04-02,Planta Separadora,Bomba,9,1,18
5,Producción,2024-11-24,Oleoducto Andino,Tanque,19,1,38
5,Producción,2024-09-25,Planta Separadora,Tanque,19,3,76
5,Producción,2024-02-22,Planta Separadora,Bomba,7,1,35
6,Logística,2024-01-15,Gasoducto Sur,Bomba,30,10,120
6,Logística,2024-01-12,Planta Eléctrica Loma,Válvula,27,3,135
6,Logística,2024-05-03,Planta Eléctrica Loma,Filtro,7,1,28
6,Logística,2024-12-14,Refinería VacaMuerta,Tanque,10,3,50
6,Logística,2024-01-22,Gasoducto Sur,Tanque,16,3,32
7,Mantenimiento,2024-10-22,Planta Separadora,Bomba,14,1,70
7,Mantenimiento,2024-01-02,Oleoducto Andino,Bomba,24,4,48
7,Mantenimiento,2024-09-07,Planta Eléctrica Loma,Bomba,21,5,105
7,Mantenimiento,2024-02-07,Oleoducto Andino,Válvula,10,1,20
7,Mantenimiento,2024-05-27,Planta Separadora,Válvula,10,3,30
8,Perforación,2024-12-26,Oleoducto Andino,Válvula,10,2,50
8,Perforación,2024-04-24,Refinería VacaMuerta,Filtro,15,5,60
9,Mantenimiento,2024-04-09,Planta Separadora,Válvula,13,1,65
